datetime,neg,neu,pos
2023-02-06 19:00:00,4.0,8.0,18.0
2023-02-06 20:00:00,13.0,19.0,18.0
2023-02-06 21:00:00,4.0,9.0,6.0
2023-02-06 22:00:00,,8.0,3.0
2023-02-06 23:00:00,,3.0,4.0
2023-02-07 00:00:00,,1.0,
2023-02-07 01:00:00,1.0,1.0,
2023-02-07 02:00:00,1.0,,
2023-02-07 04:00:00,,1.0,5.0
2023-02-07 05:00:00,1.0,12.0,2.0
2023-02-07 06:00:00,7.0,9.0,9.0
2023-02-07 07:00:00,1.0,17.0,3.0
2023-02-07 08:00:00,6.0,9.0,15.0
2023-02-07 09:00:00,4.0,15.0,24.0
2023-02-07 10:00:00,3.0,9.0,13.0
2023-02-07 11:00:00,4.0,10.0,8.0
2023-02-07 12:00:00,5.0,12.0,12.0
2023-02-07 13:00:00,7.0,17.0,15.0
2023-02-07 14:00:00,9.0,14.0,14.0
2023-02-07 15:00:00,1.0,17.0,8.0
2023-02-07 16:00:00,5.0,16.0,13.0
2023-02-07 17:00:00,4.0,16.0,12.0
2023-02-07 18:00:00,10.0,25.0,15.0
2023-02-07 19:00:00,23.0,51.0,50.0
2023-02-07 20:00:00,71.0,99.0,81.0
2023-02-07 21:00:00,52.0,93.0,166.0
2023-02-07 22:00:00,21.0,54.0,60.0
2023-02-07 23:00:00,9.0,14.0,30.0
2023-02-08 00:00:00,1.0,6.0,8.0
2023-02-08 01:00:00,,1.0,4.0
2023-02-08 02:00:00,5.0,4.0,8.0
2023-02-08 03:00:00,,1.0,3.0
2023-02-08 04:00:00,4.0,2.0,
2023-02-08 05:00:00,4.0,3.0,3.0
2023-02-08 06:00:00,3.0,14.0,8.0
2023-02-08 07:00:00,4.0,7.0,16.0
2023-02-08 08:00:00,7.0,10.0,16.0
2023-02-08 09:00:00,6.0,12.0,11.0
2023-02-08 10:00:00,4.0,13.0,16.0
2023-02-08 11:00:00,2.0,19.0,16.0
2023-02-08 12:00:00,12.0,23.0,19.0
2023-02-08 13:00:00,4.0,21.0,15.0
2023-02-08 14:00:00,2.0,13.0,21.0
2023-02-08 15:00:00,9.0,12.0,12.0
2023-02-08 16:00:00,6.0,17.0,17.0
2023-02-08 17:00:00,4.0,21.0,13.0
2023-02-08 18:00:00,24.0,31.0,21.0
2023-02-08 19:00:00,12.0,13.0,12.0
